,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
642,355 1st St PENTHOUSE S2802,94105,- Condo for sale,2198000,2 ,2 ,1480,1485.1351351351352,0,0
643,250 King St UNIT 604,94107,- Condo for sale,699000,1 ,1 ,587,1190.8006814310052, Eric M. Johnson,SOTHEBY'S INTERNATIONAL REALTY
644,1268 Lombard St #2,94109,- Condo for sale,3299000,3 ,2 ,0,inf, Marianne Bacigalupi Schier,COMPASS
645,2250 24th St UNIT 329,94107,- Condo for sale,898000,2 ,2 ,1030,871.8446601941747, Eugenia A. Mantzoros,EPIC REAL ESTATE & ASSO. INC.
646,870 Harrison St UNIT 602,94107,- Condo for sale,785000,1 ,1 ,583,1346.483704974271, James R. Decker,AMSI
647,170 Ocean Ave,94112,- House for sale,1550000,3 ,2 ,1950,794.8717948717949,0,0
648,201 Harrison St APT 708,94105,- Condo for sale,625000,1 ,1 ,495,1262.6262626262626, Lisa M. Marroquin,PARK NORTH REAL ESTATE
649,95 Farallones St,94112,- Multi-family home for sale,1280000,6 ,3 ,1950,656.4102564102565, Hung K. Kwok,MAXREAL
650,637 Powell St APT 102,94108,- Condo for sale,1285000,3 ,2 ,0,inf, Carey Clarke Nassano-Miller,COMPASS
651,818 Van Ness Ave APT 802,94109,- Condo for sale,1349000,2 ,2 ,1128,1195.9219858156027, Judson R. Cassels,VANGUARD PROPERTIES
652,6 Mint Plz APT 303A,94103,- Condo for sale,875000,2 ,1 ,0,inf, Jessie Lee,COMPASS SF
653,699 36th Ave APT 301,94121,- Condo for sale,1595000,3 ,3 ,1935,824.2894056847546, Zehra Ammar Ashary,COMPASS
654,1483 Sutter St UNIT 1001,94109,- Condo for sale,1188000,1 ,-- ,1050,1131.4285714285713, Non -. Member,RECIP. LISTING (MLS ONLY)
655,1800 Washington St APT 219,94109,- Condo for sale,1299000,2 ,2 ,1042,1246.641074856046, Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
656,2125 Bryant St APT 316,94110,- Condo for sale,1798000,3 ,4 ,1702,1056.4042303172737, Andrea F. Swetland,VANGUARD PROPERTIES
657,3122 23rd St,94110,- Condo for sale,1995000,3 ,3 ,0,inf, Daniel R. Fernandez,CORCORAN GLOBAL LIVING
658,1238 Sutter St UNIT 801,94109,- Condo for sale,775000,1 ,1 ,0,inf,0,0
659,2922 Franklin St,94123,- New construction,3800000,3 ,3 ,2735,1389.396709323583, Amanda M. Jones,COMPASS
660,195 7th St APT 309,94103,- Condo for sale,399000,Studio,1 ,307,1299.6742671009772, Jessie Lee,COMPASS SF
661,3131 Pierce St #301,94123,- New construction,1649000,2 ,2 ,0,inf, Edward R. Deleski,VANGUARD PROPERTIES
662,246 Carl St #248,94117,- Multi-family home for sale,8444000,6 ,-- ,0,inf, Mollie W. Poe,INDIGO REAL ESTATE
663,999 Green St APT 1104,94133,- Condo for sale,1849000,2 ,2 ,1681,1099.9405116002379, Gillian Toboni,COMPASS
664,2829 25th St #4,94110,- Condo for sale,2495000,3 ,4 ,1975,1263.2911392405063, Jason H. Hoffman,COMPASS
665,280 Spear St #25F,94105,- New construction,1599999,1 ,1 ,0,inf, Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
666,325 Castro St #375,94114,- Multi-family home for sale,2600000,-- ,-- ,3300,787.8787878787879, Matthew Tatsumi Gomez,VANGUARD PROPERTIES
667,201 Harrison St APT 122,94105,- Condo for sale,459000,Studio,1 ,347,1322.7665706051873,0,0
