,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
215,588 Minna St #304,94103,- New construction,1099000,2 ,2 ,981,1120.2854230377166, Douglas R. Shaw,COMPASS
216,2760 19th Ave UNIT 33,94132,- Condo for sale,895000,2 ,2 ,1200,745.8333333333334, Thomas Cooke,COMPASS SF
217,1701 Jackson St APT 302,94109,- Condo for sale,825000,1 ,1 ,743,1110.3633916554509, Marie M. Randall,COMPASS SF
218,5104 Diamond Heights Blvd #B,94131,- Condo for sale,1629000,4 ,3 ,1943,838.3942357179619,0,0
219,2002 California St,94109,- House for sale,4275000,4 ,4 ,2750,1554.5454545454545, Helena Zaludova,COMPASS SF
220,109 Porter St,94110,- House for sale,1338800,3 ,4 ,1720,778.3720930232558, George K. Lai,FAR EAST REALTY
221,1465 Laguna St APT 5,94115,- Condo for sale,620000,2 ,1 ,850,729.4117647058823, Jana B. Farrell,COLDWELL BANKER REALTY
222,2148 Union St #1,94123,- Condo for sale,1599000,2 ,2 ,0,inf, Frank A. Nolan,VANGUARD PROPERTIES
223,156 Beaver St #158,94114,- Multi-family home for sale,1999000,5 ,4 ,3035,658.6490939044481, Marcus Miller,HELM REAL ESTATE
224,Plan C Plan,BMR,- New construction,532720,3 ,4 ,1628,327.22358722358723,0,Tri Pointe Homes
225,350 Broderick St APT 211,94117,- New construction,1435000,2 ,2 ,977,1468.7819856704195, Fabrizio D'Angelo,COMPASS
226,2130 Filbert St,94123,- House for sale,4300000,4 ,4 ,2564,1677.0670826833073, Nina Hatvany,COMPASS
227,1547 Revere Ave,94124,- House for sale,1388000,5 ,4 ,2614,530.9869931140015,0,0
228,2100 Green St APT 104,94123,- Condo for sale,2450000,3 ,3 ,2173,1127.4735388863323, Joan J. Smith,COMPASS
229,2137 Vicente St,94116,- House for sale,1650000,6 ,3 ,2165,762.1247113163972,0,0
230,1921 Grant Ave,94133,- Condo for sale,1595000,2 ,2 ,1473,1082.8241683638832, Wendy M. Storch,SOTHEBY'S INTERNATIONAL REALTY
231,2786 Jackson St #A,94115,- Condo for sale,535000,Studio,1 ,472,1133.4745762711864, Judy H. Karam,SOTHEBY'S INTERNATIONAL REALTY
232,1075 Market St UNIT 307,94103,- Condo for sale,331429,1 ,1 ,500,662.858, Robert  Belli,HOME QUEST REALTY
233,1823 Silliman St,94134,- House for sale,1398888,4 ,4 ,2524,554.2345483359746, Marlon Austria,REALTY WORLD BAY AREA R.E.
234,1160 Mission St UNIT 1105,94103,- Condo for sale,307950,1 ,1 ,664,463.7801204819277, Robert  Belli,HOME QUEST REALTY
235,2983 21st St #C,94110,- New construction,619000,1 ,1 ,0,inf, Claudia L. Siegel,COMPASS
236,918 Divisadero St,94115,- House for sale,3999999,7 ,5 ,5041,793.4931561198175, Kevin Swanigan,COMPASS
237,722 Girard St,94134,- House for sale,998000,5 ,3 ,2480,402.4193548387097,0,0
238,1308 Montgomery St,94133,- Multi-family home for sale,3995000,3 ,5 ,3285,1216.1339421613395, Carol A. Goldberg,SOTHEBY'S INTERNATIONAL REALTY
239,1345 16th Ave APT 6,94122,- Condo for sale,799000,2 ,1 ,0,inf, Lance Fulford,COMPASS SF
240,814 Diamond St #818,94114,- Multi-family home for sale,1999000,3 ,2 ,2642,756.6237698713096, Rachel E. Swann,COMPASS
241,2830 22nd St,94110,- House for sale,1225000,2 ,2 ,1090,1123.8532110091744, Sean Jeremy Weinstock,VANGUARD PROPERTIES
242,111 Chestnut St UNIT 704,94111,- Condo for sale,685000,1 ,1 ,680,1007.3529411764706, Bruce Lyon,COLDWELL BANKER REALTY
243,378 Collingwood St,94114,- House for sale,5700000,3 ,3 ,2820,2021.276595744681, Neill S. Bassi,SOTHEBY'S INTERNATIONAL REALTY
244,242 20th Ave,94121,- Multi-family home for sale,1295000,5 ,2 ,2120,610.8490566037735,0,0
245,2707 Larkin St,94109,- House for sale,9995000,4 ,8 ,5371,1860.9197542357103, Janet F. Schindler,SOTHEBY'S INTERNATIONAL REALTY
246,574 Waller St,94117,- Condo for sale,1399000,2 ,1 ,1117,1252.461951656222, Allison Fortini Crawford,SOTHEBY'S INTERNATIONAL REALTY
247,55 S Western Shore Ln UNIT 4,94115,- Condo for sale,747000,3 ,2 ,1050,711.4285714285714,0,0
248,1466 Waller St #1470,94117,- Multi-family home for sale,1700000,4 ,-- ,5580,304.6594982078853, Dan M. McGivern,MARCUS & MILLICHAP
249,2022 10th Ave,94116,- House for sale,2499950,4 ,5 ,2618,954.9083269671505,0,0
250,701 Hampshire St #2,94110,- Condo for sale,595000,1 ,1 ,609,977.0114942528736, Mark A. Colwell,COMPASS
251,3009 Webster St,94123,- House for sale,4250000,4 ,3 ,2774,1532.083633741889, Daniel Hendel,COLDWELL BANKER REALTY
252,234 Andover St,94110,- House for sale,2195000,4 ,3 ,2040,1075.9803921568628, Richard Rochon,AVENUE 8 INC.
253,6 Mint Plz APT 201A,94103,- Condo for sale,649000,1 ,1 ,589,1101.867572156197, L. Christine Irsfeld,COMPASS SF
254,2119 25th Ave,94116,- House for sale,1189000,2 ,1 ,1400,849.2857142857143, Joseph A. Jajeh,CENTURY 21 BALDINI REALTY
255,207 Brussels St,94134,- House for sale,1288000,6 ,4 ,1675,768.955223880597, Bradford Huang,RE/MAX GOLD DALY CITY
256,10 Sea Cliff Ave,94121,- House for sale,7200000,4 ,4 ,3420,2105.2631578947367, BROKER,PATRICIA AGUARISTI
257,172 Landers St #174,94114,- Multi-family home for sale,1995000,4 ,-- ,2240,890.625, Allison Chapleau,VANGUARD PROPERTIES
258,1910 Turk St #1912,94115,- Multi-family home for sale,1949000,4 ,-- ,2490,782.7309236947791, Alex M. Shvartsman,COMPASS
259,1567 Francisco St,94123,- Condo for sale,3575000,3 ,4 ,3072,1163.7369791666667, Darwin Tejada,SOTHEBY'S INTERNATIONAL REALTY
260,179 San Carlos St #2,94110,- Condo for sale,1295000,2 ,2 ,973,1330.9352517985612,0,0
261,6038 Geary Blvd #6040,94121,- House for sale,1395000,4 ,2 ,3340,417.6646706586826, Carol L. Solfanelli,COMPASS
262,114 Coral Ct #26,94124,- Condo for sale,699000,3 ,3 ,1360,513.9705882352941, Shu Pu,CENTURY 21 REALTY ALLIANCE
263,700 15th Ave,94118,- House for sale,2995000,5 ,4 ,2877,1041.0149461244353, John M. Kirkpatrick,COMPASS
264,2626 Filbert St,94123,- House for sale,15980000,4 ,5 ,4185,3818.399044205496, Neal Allen Ward,COMPASS
265,2546 Sutter St,94115,- Multi-family home for sale,1888000,-- ,-- ,1920,983.3333333333334,0,0
266,385 Tehama St,94103,- Condo for sale,1279000,1 ,1 ,1566,816.7305236270754, Adam I. Gavzer,COMPASS
267,686 28th Ave,94121,- House for sale,1580000,3 ,2 ,1350,1170.3703703703704, Thanda Yap,DCP REALTY
268,349 S Van Ness Ave #3,94103,- Condo for sale,625000,2 ,1 ,787,794.1550190597204, Michael A. Gallin,VANGUARD PROPERTIES
269,547 Sawyer St,94134,- House for sale,798000,3 ,2 ,1235,646.1538461538462,0,0
270,1441 Vallejo St,94109,- Condo for sale,1699000,2 ,2 ,2012,844.4333996023856, Erik Reider,CORCORAN GLOBAL LIVING
271,946 Stockton St APT 11C,94108,- Condo for sale,760000,2 ,2 ,690,1101.4492753623188, INC.,UNITED ASSOCIATES INV.
272,901 Bayshore Blvd #206,94124,- Condo for sale,240000,1 ,1 ,0,inf, Julia Lo,CORCORAN GLOBAL LIVING
273,290 Red Rock Way #A,94131,- Condo for sale,995000,4 ,3 ,1513,657.633840052875, Katherine D. Tomassi,COMPASS
274,627 39th Ave,94121,- House for sale,2295000,4 ,5 ,2387,961.4578969417679, Carol Reen,COMPASS
275,280 Monterey Blvd,94131,- House for sale,1799000,5 ,3 ,2589,694.8628814213982, Pete Brannigan,COMPASS SF
276,74 Brady St UNIT 6,94103,- Condo for sale,1395000,2 ,3 ,1668,836.3309352517986, AVENUE 8 INC.,Sternberg-Benjamin Architects
277,709 Central Ave,94117,- Condo for sale,1225000,3 ,2 ,1228,997.557003257329, Merri Pontar-Rawski,PONTAR REAL ESTATE
278,Plan B Plan,BMR,- New construction,532720,3 ,4 ,1789,297.77529346003354,0,Tri Pointe Homes
279,520 Natoma St APT 11,94103,- Condo for sale,369000,Studio,1 ,347,1063.400576368876, Robert Lane Gibson,VANGUARD PROPERTIES
280,81 Lansing St APT 303,94105,- Condo for sale,799000,1 ,1 ,900,887.7777777777778, John P. Twomey,COMPASS SF
281,300 3rd St APT 318,94107,- Condo for sale,1220000,2 ,2 ,1399,872.0514653323803, Ruth Krishnan,COMPASS SF
282,875 California St #402,94108,- New construction,2320000,2 ,2 ,1444,1606.6481994459834, COMPASS,Grosvenor Americas
283,3751 21st St,94114,- House for sale,2195000,4 ,4 ,0,inf, Greg Fulford,SOTHEBY'S INTERNATIONAL REALTY
284,1146 Florida St,94110,- House for sale,3595000,3 ,4 ,2954,1216.9939065673664, Brendon Kearney,COMPASS
285,50 Oakwood St,94110,- House for sale,7850000,5 ,5 ,4665,1682.743837084673, Nina Hatvany,COMPASS
286,1345 16th Ave APT 9,94122,- Condo for sale,675000,1 ,1 ,691,976.8451519536903, Lance Fulford,COMPASS SF
287,1834 Mason St,94133,- Condo for sale,1695000,2 ,2 ,1594,1063.3626097867002, John C. Farnham,COMPASS
288,260 King St UNIT 457,94107,- Condo for sale,949000,1 ,2 ,1104,859.6014492753624, Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
289,44 Stonecrest Dr,94132,- House for sale,3386000,4 ,5 ,4084,829.0891283055828,0,0
290,310 Townsend St APT 206,94107,- Condo for sale,699000,1 ,1 ,689,1014.5137880986938, Ashley C. Petty,MOSAIK REAL ESTATE
291,555 Golden Gate Ave #6G,94102,- New construction,879000,2 ,1 ,834,1053.9568345323742, Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
292,1324 Clement St #1326,94118,- Multi-family home for sale,1888000,4 ,3 ,3334,566.2867426514697, Beatrice S. Kopilenko,RE/MAX GOLD DALY CITY
293,214 States St,94114,- New construction,1495000,3 ,-- ,1500,996.6666666666666, Jeff J. Appenrodt,LAUREL REALTY & INVESTMENT
294,1290 23rd Ave,94122,- Condo for sale,1195000,3 ,2 ,1200,995.8333333333334,0,0
295,3053 California St #3053,94115,- Condo for sale,2095000,3 ,4 ,2186,958.3714547118024, Ana T. L. Dierkhising,COMPASS
296,2555 Union St,94123,- House for sale,14200000,4 ,4 ,6024,2357.237715803453, Wendy W. Tam,W REAL ESTATE
297,821 Taraval St APT C,94116,- Condo for sale,1195000,3 ,3 ,1535,778.5016286644951, Tanya S. Dzhibrailova,CORCORAN GLOBAL LIVING
298,57 Woodward St #A,94103,- Condo for sale,719000,2 ,1 ,892,806.0538116591928, Duncan C. Wheeler,COMPASS
299,666 Post St APT 902,94109,- Condo for sale,659000,1 ,1 ,775,850.3225806451613, Christian Buckley,VANGUARD PROPERTIES
300,1087 De Haro St,94107,- Condo for sale,1099000,2 ,2 ,1088,1010.1102941176471, Brian Anderson,COMPASS
301,1282 Hayes St #101,94117,- New construction,799000,1 ,1 ,0,inf, Michael R. Keane-Stack,VANGUARD PROPERTIES
302,9 Apollo St,94124,- House for sale,798000,3 ,1 ,987,808.5106382978723, Alex Y. Dabit,INTERO REAL ESTATE SERVICES
303,2780 Broadway St,94115,- House for sale,19995000,4 ,6 ,6000,3332.5, Steven M. Gothelf,SOTHEBY'S INTERNATIONAL REALTY
304,1787 Alabama St #1787,94110,- Condo for sale,950000,2 ,1 ,1200,791.6666666666666,0,0
305,898 Francisco St,94109,- House for sale,9950000,6 ,7 ,6305,1578.112609040444, Mark A. Levinson,COMPASS
306,2196 Jackson St,94115,- House for sale,5995000,5 ,5 ,5025,1193.0348258706467, Janet F. Schindler,SOTHEBY'S INTERNATIONAL REALTY
307,3200 Judah St #3202,94122,- Multi-family home for sale,1595000,6 ,1 ,2250,708.8888888888889, INC,EXP REALTY OF CALIFORNIA
308,22 Presidio Ave,94115,- Condo for sale,3575000,3 ,3 ,2380,1502.1008403361345, Joel Goodrich,COLDWELL BANKER REALTY
309,181 Fremont St UNIT 68B,94105,- New construction,15500000,2 ,3 ,3256,4760.442260442261, COMPASS,Jay Paul Company
310,1461 Kansas St,94107,- House for sale,1095000,2 ,1 ,946,1157.505285412262, Miriam Westberg,REDFIN
311,601 Van Ness Ave APT 45,94102,- Condo for sale,799000,2 ,2 ,1093,731.0155535224154, David E. Werboff,SOTHEBY'S INTERNATIONAL REALTY
312,1510 Jackson St APT 2,94109,- Condo for sale,768000,2 ,1 ,0,inf, Jeremy Burnett,CORCORAN GLOBAL LIVING
313,2000 Washington St #7,94109,- Condo for sale,25000000,4 ,4 ,0,inf, Malin B. Giddings,COMPASS
314,13 Abbey St,94114,- Multi-family home for sale,1495000,2 ,2 ,0,inf, Steven Y. Fang,INTERO REAL ESTATE SERVICES
315,2232 Bush St,94115,- House for sale,6200000,4 ,4 ,6374,972.7016002510197, Steven Mavromihalis,COMPASS
316,2040 Franklin St APT 1209,94109,- Condo for sale,1395000,2 ,2 ,0,inf, Deborah L. Nguyen,COMPASS
317,51 Wool St,94110,- House for sale,1133000,1 ,1 ,1175,964.2553191489362, Jorge E. Carcamo,FUTURA REALTY INC.
318,940 Natoma St UNIT 5,94103,- Condo for sale,799000,1 ,1 ,965,827.979274611399, Noreleen C. de Mesa,CLARIN REALTY INC.
319,1370 Broadway St,94109,- Condo for sale,1235000,3 ,1 ,1340,921.6417910447761, Helena Zaludova,COMPASS SF
320,425 1st St UNIT 905,94105,- Condo for sale,779000,1 ,1 ,710,1097.1830985915492, Tim M. Heffernan,REAL ESTATE ADVISOR GROUP
321,619 Shotwell St APT 6,94110,- Condo for sale,799000,2 ,1 ,685,1166.4233576642337, Stefano Dezerega,CORCORAN GLOBAL LIVING
322,620 Waller St,94117,- Multi-family home for sale,2395000,4 ,2 ,2225,1076.4044943820224, George L. Limperis,COMPASS SF
323,2016 Pacific Ave APT 401,94109,- Condo for sale,1539000,2 ,3 ,1154,1333.6221837088387, Sherri Howe,BRAVA REAL ESTATE
324,1310 Greenwich St APT 202,94109,- Condo for sale,1195000,2 ,1 ,0,inf, Kevin Wakelin,COMPASS
325,301 Mission St APT 22G,94105,- Condo for sale,1398000,2 ,2 ,1268,1102.5236593059938, Dona Crowder,COLDWELL BANKER REALTY
326,172 Langton St,94103,- Condo for sale,699000,1 ,1 ,616,1134.7402597402597,0,0
327,52 Nebraska St,94110,- House for sale,1495000,2 ,1 ,1025,1458.5365853658536, Lyle Chip McAllister,COMPASS SF
328,590 Chestnut St,94133,- New construction,1449000,4 ,2 ,1335,1085.3932584269662, Joshua A. Lawrence,COMPASS
329,83 Mcallister St APT 405,94102,- Condo for sale,385000,Studio,1 ,254,1515.748031496063, Michael  Minson,KELLER WILLIAMS SAN FRANCISCO
330,139 Stillman St APT 4,94107,- Condo for sale,705000,1 ,1 ,715,986.013986013986, JUNG & CO.,ANDERSEN
